airline,E_u,Var_within_u,Var_between_bins_u,Var_total_u
1,183.4,451.2,5995.639999999999,6446.839999999999
2,151.85000000000002,208.33333333333334,4014.5775000000003,4222.910833333333
3,163.515,280.6041666666667,3265.507275,3546.1114416666665
4,65.02,33.33333333333333,470.79959999999994,504.13293333333326
5,293.90000000000003,208.33333333333334,1912.79,2121.1233333333334
6,70.2,52.08333333333334,694.46,746.5433333333334
7,88.44,133.33333333333334,1319.1664,1452.4997333333333
8,91.72,133.33333333333334,774.6416000000002,907.9749333333335
9,56.825,18.75,278.76937499999997,297.51937499999997
10,57.339999999999996,33.333333333333336,483.32439999999997,516.6577333333333
