airline,lower,upper,closed_right,prob
1,40.0,100.0,0,0.082
1,100.0,180.0,0,0.53
1,180.0,240.0,0,0.172
1,240.0,320.0,0,0.118
1,320.0,380.0,0,0.098
2,40.0,90.0,0,0.171
2,90.0,140.0,0,0.285
2,140.0,190.0,0,0.351
2,190.0,240.0,0,0.022
2,240.0,290.0,0,0.171
3,35.0,70.0,0,0.128
3,70.0,135.0,0,0.114
3,135.0,195.0,0,0.424
3,195.0,255.0,0,0.334
4,20.0,40.0,0,0.06
4,40.0,60.0,0,0.458
4,60.0,80.0,0,0.259
4,80.0,100.0,0,0.117
4,100.0,120.0,0,0.106
5,200.0,250.0,0,0.164
5,250.0,300.0,0,0.395
5,300.0,350.0,0,0.34
5,350.0,400.0,0,0.101
6,25.0,50.0,0,0.28
6,50.0,75.0,0,0.301
6,75.0,100.0,0,0.25
6,100.0,125.0,0,0.169
7,10.0,50.0,0,0.117
7,50.0,90.0,0,0.476
7,90.0,130.0,0,0.236
7,130.0,170.0,0,0.171
8,10.0,50.0,0,0.069
8,50.0,90.0,0,0.368
8,90.0,130.0,0,0.514
8,130.0,170.0,0,0.049
9,20.0,35.0,0,0.066
9,35.0,50.0,0,0.337
9,50.0,65.0,0,0.281
9,65.0,80.0,0,0.208
9,80.0,95.0,0,0.108
10,20.0,40.0,0,0.198
10,40.0,60.0,0,0.474
10,60.0,80.0,0,0.144
10,80.0,100.0,0,0.131
10,100.0,120.0,0,0.053
