unit,mu1,mu2,var1_total,var2_total,cov12_total
1,60.99350711353004,18.432397593812663,1131.3405161033504,1931.9939101336533,-75.37432893761299
2,77.16489874638381,2.830038572806172,1993.7686939707828,154.32212564942827,2.184487371311615
3,89.24677486475238,4.715633236232487,1182.4908661648317,248.6140539327151,121.50518636048582
4,57.1535069298614,9.301028979420412,301.3210387304224,796.6723662938543,-18.471661525400318
5,57.69865218265942,5.6175819754576555,512.2656570045511,390.6683477506897,43.85740048264646
6,187.08657225002665,17.03125332765414,6743.7179515948665,1291.5509701290243,-181.06324235495495
7,147.03559027777777,10.051649305555557,3852.410191665461,416.99964716405043,-78.61859168535398
8,163.44284428442845,2.0972097209720975,3546.130121563011,182.40789200432195,11.797785314084983
9,65.54826616682287,5.726335520149952,502.9249587245316,402.008753488176,125.32225278417272
10,299.6603754018459,5.075754433267654,2096.82889793367,218.2983505879738,85.23391016996284
